"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"ATL2",0.0165906068548365,5.21294755555556,0.278022476832863,0.781889775429798,0.999962582242539,-5.89718279918244,"No Signif"
"NOXA1",0.0165790957661249,6.47370506349206,0.424703365287064,0.672474885557669,0.999962582242539,-5.84854401165338,"No Signif"
"DEFB129",0.0165763765120945,3.1166661984127,0.569626543242296,0.570921639950857,0.999962582242539,-5.78068626137099,"No Signif"
"PRKAR1A",0.0165605141129008,7.74973273809524,0.55295352138543,0.582218275259514,0.999962582242539,-5.78949088013021,"No Signif"
"GBX2",0.0165529949596745,5.11699903174603,0.559799313941226,0.577567058130163,0.999962582242539,-5.78590710008236,"No Signif"
"DHX15",0.0165529677419354,6.56495888888889,0.272835180034262,0.785856820904407,0.999962582242539,-5.89853234169647,"No Signif"
"PPP1R15A",0.0165360645161261,6.51705020634921,0.436245290909003,0.664124336038291,0.999962582242539,-5.84385943286275,"No Signif"
"ZBTB17",0.0165345902217746,5.76198613492063,0.616016307867228,0.540064794586048,0.999962582242539,-5.75482858864295,"No Signif"
"NDUFB3",0.0165277883064485,5.71279484126984,0.39647723702833,0.693069612609308,0.999962582242539,-5.85947412302251,"No Signif"
"GOLT1B",0.0165232137096778,5.5444959047619,0.293682663109368,0.769949051507153,0.999962582242539,-5.89295482428689,"No Signif"
"NEB",0.0165230040322584,4.44317950793651,0.292442720439223,0.770892504161985,0.999962582242539,-5.89329800729169,"No Signif"
