"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GLRX",-0.109146586693549,5.97276723809524,-2.055253930591,0.0439340221732267,0.999989830735706,-3.98914548855919
"TAS2R3",-0.109160723790323,3.29816544444444,-2.71340711904701,0.00854332644829041,0.999989830735706,-2.64073200672837
"HCAR2",-0.110004235887097,4.83683838095238,-2.59217520075071,0.0117994068424828,0.999989830735706,-2.9118060385059
"GPR32",-0.110166853830646,3.81349555555556,-2.02664467562217,0.046863430122199,0.999989830735706,-4.04059828486087
"MTDH",-0.111075664314519,5.32611987301587,-2.49032177317662,0.0153653376342386,0.999989830735706,-3.13190973486454
"HTR2B",-0.111081813508065,3.02718252380952,-2.6335759550011,0.01057845072615,0.999989830735706,-2.82033159768016
"ITGB8",-0.112392533266131,4.21214279365079,-2.16136860662655,0.0344084185176446,0.999989830735706,-3.7928752224335
"IFIT3",-0.113300119959678,4.42921857142857,-2.81828462073205,0.00641378205787628,0.999989830735706,-2.39848150365928
"NKG7",-0.113328006552424,5.83436827777778,-2.94506570328052,0.00449511262897435,0.999989830735706,-2.0963536732188
"ZFP62",-0.113353670362904,4.61398998412698,-2.327282134188,0.0231208383892949,0.999989830735706,-3.46923199842462
"ID4",-0.113990956653229,5.40445144444444,-2.6916575728898,0.00905899202112066,0.999989830735706,-2.69007866097766
"SOD3",-0.114035123991936,5.68453336507937,-1.99894944647333,0.0498579423827984,0.999989830735706,-4.08980870410574
"MEDAG",-0.115109459677423,5.59663641269841,-2.75524802689044,0.00762612578055994,0.999989830735706,-2.54493475883403
"PILRA",-0.115232450604839,5.54307465079365,-2.97585326918708,0.00411745159331616,0.999989830735706,-2.02148968301736
"CTSW",-0.115401361895163,5.35339301587302,-2.44615092552916,0.0171937332540733,0.999989830735706,-3.22514341135503
"HLA-DPB2",-0.115545006048387,3.41670466666667,-2.79516268736487,0.00683622163513506,0.999989830735706,-2.45249552425499
"SFXN3",-0.116482181451616,5.90391125396825,-2.0076751412899,0.0488972401312005,0.999989830735706,-4.07436814197516
"MPHOSPH10",-0.116652520161291,4.52837557142857,-2.69950383472039,0.00886976983290909,0.999989830735706,-2.67231229057105
