Tag	dynamicColors	mergedColors
RARG	turquoise	brown
TCEAL7	grey	grey
CHCHD5	grey	grey
DCDC2	grey	grey
DIRAS3	turquoise	brown
PPP1R15B	red	pink
DDX41	green	green
CARMIL3	turquoise	brown
SLC9A9	grey	grey
OR2F1	grey	grey
CYB561	grey	grey
PCDH20	grey	grey
MATN2	grey	grey
NOTCH1	turquoise	brown
ITGB6	grey	grey
CCDC71	grey	grey
IGSF3	grey	grey
COX7B	yellow	yellow
CFI	grey	grey
CCL3	grey	grey
PGM5	grey	grey
FOXP2	blue	blue
GLUD2	grey	grey
PRR19	grey	grey
ECSCR	grey	grey
CPN2	grey	grey
RNF19B	grey	grey
RBP5	brown	brown
CA8	grey	grey
SERPINB6	grey	grey
KCNQ2	turquoise	brown
PRKAG2	grey	grey
PRAMEF20	grey	grey
PITPNB	greenyellow	pink
APLNR	grey	grey
RASGRF2	black	black
LPAR2	grey	grey
IRF4	turquoise	brown
ZNF493	blue	blue
MAP4	grey	grey
CCKBR	brown	brown
NUMA1	magenta	green
AIP	blue	blue
OR2A7	grey	grey
POLA2	grey	grey
CKS2	yellow	yellow
BRD4	magenta	green
UVSSA	red	pink
PPP3CB	pink	pink
AP1M1	blue	blue
C2CD4C	grey	grey
NPTX1	turquoise	brown
DBT	grey	grey
TAGLN	grey	grey
UBXN8	grey	grey
BROX	grey	grey
MGST3	grey	grey
ANO6	turquoise	brown
SH3D21	grey	grey
SERP2	brown	brown
TP73	turquoise	brown
ALKBH4	red	pink
OR5K3	grey	grey
ACO2	green	green
YME1L1	grey	grey
MRPS14	grey	grey
MMUT	grey	grey
MLLT6	red	pink
OLIG3	grey	grey
PF4V1	grey	grey
GPATCH2	grey	grey
FCAR	grey	grey
RBM34	tan	pink
TMUB2	yellow	yellow
LEMD1	grey	grey
ANXA6	grey	grey
MRGPRX4	grey	grey
CLMN	grey	grey
OR2T34	grey	grey
LNPEP	pink	pink
WWC3	grey	grey
PWWP3A	grey	grey
BRINP3	grey	grey
CFAP298	grey	grey
GABRR1	grey	grey
ELK4	blue	blue
CLCNKA	turquoise	brown
GFAP	turquoise	brown
CYP19A1	pink	pink
EPB41L5	grey	grey
MUC4	grey	grey
BTK	grey	grey
ZNF284	grey	grey
C2orf81	brown	brown
CCNG2	black	black
CDKN2D	grey	grey
HTATIP2	yellow	yellow
CD164	pink	pink
SERINC1	pink	pink
TEAD2	turquoise	brown
LAMTOR3	tan	pink
KDM3B	blue	blue
LAG3	brown	brown
TMEM132B	grey	grey
WDFY2	grey	grey
PTPN5	brown	brown
PCGF5	grey	grey
BRK1	grey	grey
TNRC6B	yellow	yellow
PHF13	grey	grey
IL3	brown	brown
DGKI	grey	grey
WFDC10B	grey	grey
COX15	grey	grey
RAD54L	turquoise	brown
GAST	grey	grey
STAC2	turquoise	brown
CD248	grey	grey
MAGI1	grey	grey
TMEM198	turquoise	brown
TTC3	blue	blue
RIOX2	red	pink
FOCAD	grey	grey
ZIC1	turquoise	brown
CLRN1	grey	grey
NFKBIL1	brown	brown
BACH1	greenyellow	pink
JHY	grey	grey
EGFL6	grey	grey
THOP1	grey	grey
YPEL3	green	green
LPP	blue	blue
ZC3H4	red	pink
TRPC5OS	grey	grey
SUPT5H	grey	grey
TRERF1	brown	brown
UPK3B	grey	grey
F3	grey	grey
SOX8	turquoise	brown
AMMECR1	grey	grey
ANO8	turquoise	brown
PRELID3A	brown	brown
TFCP2L1	grey	grey
CEBPE	turquoise	brown
CAPZA1	red	pink
RND3	grey	grey
ANK1	turquoise	brown
STAG1	pink	pink
SHC3	brown	brown
SUPT4H1	yellow	yellow
HAO1	grey	grey
MIER1	red	pink
ENSA	purple	pink
ADGRG5	turquoise	brown
PIGB	grey	grey
CST9L	grey	grey
TMEM38B	grey	grey
GPC4	black	black
KRTAP27-1	grey	grey
TCF7L1	turquoise	brown
ATP11C	grey	grey
STAM	green	green
MYL7	turquoise	brown
RPL14	yellow	yellow
SNX32	brown	brown
MIGA1	pink	pink
FGD4	turquoise	brown
MED9	grey	grey
HTT	blue	blue
UGT2B17	grey	grey
LGALS8	grey	grey
PPP4R3C	grey	grey
NME1-NME2	grey	grey
SPTBN2	grey	grey
NUTM2G	turquoise	brown
PPP1R35	yellow	yellow
CUL4B	blue	blue
CRK	red	pink
ASCC2	grey	grey
MAPK15	turquoise	brown
TAL1	turquoise	brown
SAPCD2	turquoise	brown
PDE6D	yellow	yellow
CLIP2	brown	brown
LDLRAD1	brown	brown
CASP8AP2	blue	blue
ZNF16	grey	grey
VN1R4	grey	grey
C1orf216	red	pink
LEMD3	pink	pink
NEURL3	turquoise	brown
RPL10A	yellow	yellow
UBA2	tan	pink
LRP1	grey	grey
RBP7	blue	blue
HSD17B8	grey	grey
SLC25A34	grey	grey
SLIRP	yellow	yellow
BPIFB4	turquoise	brown
KIF2B	grey	grey
FKBP2	green	green
PRRG3	brown	brown
SLC27A5	turquoise	brown
C11orf91	grey	grey
C16orf72	grey	grey
ZNF24	blue	blue
CDK5RAP3	grey	grey
KLHL17	turquoise	brown
SLC9A3	turquoise	brown
NBDY	green	green
MAP1S	green	green
ACAA2	yellow	yellow
PTH2	turquoise	brown
DENND6A	grey	grey
HINFP	grey	grey
SOD1	grey	grey
RBP2	grey	grey
UPK3A	grey	grey
TMC1	grey	grey
PIGT	grey	grey
CAPZB	green	green
POLE4	grey	grey
DUSP26	turquoise	brown
CIITA	brown	brown
VTI1B	yellow	yellow
GALNT18	grey	grey
WNK4	brown	brown
MPC2	grey	grey
CDC34	blue	blue
RET	turquoise	brown
HELLS	blue	blue
KMT2D	grey	grey
CRTAP	grey	grey
CTXND1	brown	brown
HSPA4	pink	pink
DFFA	green	green
MARCKS	purple	pink
ITGB3BP	grey	grey
KPNB1	red	pink
PHF21B	turquoise	brown
EPB41L3	blue	blue
BMP10	grey	grey
IMMP1L	grey	grey
CSF3	turquoise	brown
SPOCK2	brown	brown
LRRC3C	grey	grey
TMEM102	red	pink
FA2H	grey	grey
DHX9	pink	pink
REPS2	black	black
CRYGB	grey	grey
ZDHHC3	grey	grey
PPIP5K1	grey	grey
BRAP	purple	pink
GATAD2B	magenta	green
RNF113A	brown	brown
SELENOF	tan	pink
BTBD17	grey	grey
EIF3M	yellow	yellow
CHI3L1	turquoise	brown
KRTAP10-9	grey	grey
METTL14	grey	grey
GREB1L	grey	grey
RNF182	turquoise	brown
NEMP1	grey	grey
PIGU	purple	pink
POMT2	grey	grey
KDELR1	green	green
OR8B4	grey	grey
ZNF467	turquoise	brown
NDUFB4	yellow	yellow
MYL12A	yellow	yellow
C16orf86	turquoise	brown
CHMP2B	purple	pink
MOSPD1	pink	pink
PEPD	grey	grey
PF4	grey	grey
ATF6	grey	grey
RPGR	grey	grey
ZNF135	grey	grey
OR51T1	grey	grey
C8orf89	grey	grey
SLC16A1	grey	grey
CMKLR1	grey	grey
ZNF605	grey	grey
NXF1	green	green
RPA4	grey	grey
ST6GALNAC6	turquoise	brown
FURIN	grey	grey
TWF1	tan	pink
PDX1	brown	brown
CRNKL1	grey	grey
PERM1	brown	brown
NANP	grey	grey
FAT1	black	black
NHLRC3	blue	blue
MMP19	grey	grey
FAM220A	grey	grey
TIAM1	grey	grey
SMIM10L2A	grey	grey
WNT2	grey	grey
ABCC4	grey	grey
JCAD	grey	grey
DPEP3	turquoise	brown
RRP1	turquoise	brown
GLTPD2	turquoise	brown
KCTD17	grey	grey
CARD10	turquoise	brown
ADAM17	red	pink
PIK3CA	blue	blue
BDKRB1	grey	grey
DHX35	grey	grey
MDC1	grey	grey
CHM	pink	pink
SDHAF3	grey	grey
NKAIN1	turquoise	brown
ANO2	grey	grey
GFER	red	pink
UBR4	blue	blue
KRT81	grey	grey
OR8A1	grey	grey
SPDYE5	blue	blue
PLS3	black	black
HEXA	grey	grey
AP4S1	grey	grey
RNF115	grey	grey
ALS2CL	turquoise	brown
SNAP47	turquoise	brown
MTERF2	grey	grey
CACNG8	turquoise	brown
TGM1	turquoise	brown
CNOT3	grey	grey
MBTPS1	magenta	green
MOBP	grey	grey
ATR	blue	blue
LILRA5	purple	pink
PLEKHA6	magenta	green
GRM4	turquoise	brown
CYP7A1	grey	grey
PTPRK	blue	blue
MTRR	red	pink
NDUFA1	grey	grey
ARHGEF1	turquoise	brown
GALNT17	brown	brown
MAP7	grey	grey
FCER1G	grey	grey
C1QTNF3	grey	grey
ISLR	grey	grey
ZFPL1	green	green
RAB25	green	green
SERPINA1	grey	grey
MERTK	grey	grey
TMPRSS5	turquoise	brown
PPP1R3G	brown	brown
MAP10	grey	grey
